page,media_id,original_filename,class,original_url,note
digital-presence,747fdf_1b25c17b7ce74d9f964376793a3172a5~mv2.jpg,1000x480_ED_Banner_GITEX15.jpg,WORK,https://static.wixstatic.com/media/747fdf_1b25c17b7ce74d9f964376793a3172a5~mv2.jpg,"Named: GITEX 2015 banner, ED"
digital-presence,747fdf_06e10169aa3449d199ca276f694bef93~mv2.png,r82El4pw.png,WORK,https://static.wixstatic.com/media/747fdf_06e10169aa3449d199ca276f694bef93~mv2.png,
digital-presence,747fdf_95ab72e51700427a9b1c6d2bb60142d1~mv2.png,MOE-SZ-4.png,WORK,https://static.wixstatic.com/media/747fdf_95ab72e51700427a9b1c6d2bb60142d1~mv2.png,Named: Ministry of Economy
digital-presence,747fdf_d58bfbf9c85649d28da3acb04b0f0aa9~mv2.jpg,opec_001.jpg,WORK,https://static.wixstatic.com/media/747fdf_d58bfbf9c85649d28da3acb04b0f0aa9~mv2.jpg,Named: OPEC
digital-presence,747fdf_1e498c2c4e9d4f7c897f26c04c6e08b1~mv2.jpg,opec_282_edited.jpg,WORK,https://static.wixstatic.com/media/747fdf_1e498c2c4e9d4f7c897f26c04c6e08b1~mv2.jpg,Named: OPEC
digital-presence,747fdf_2912b0dbcf144c72b38fc805cdb6f18c~mv2.jpg,Opec-Trophy.jpg,WORK,https://static.wixstatic.com/media/747fdf_2912b0dbcf144c72b38fc805cdb6f18c~mv2.jpg,Named: OPEC trophy
digital-presence,747fdf_fd07139b4603448faa789b212d90a7f5~mv2.jpg,opec_321.jpg,WORK,https://static.wixstatic.com/media/747fdf_fd07139b4603448faa789b212d90a7f5~mv2.jpg,Named: OPEC
digital-presence,747fdf_a47284bfce5a4f33805f66133e00e76a~mv2.jpg,(no original name),DECOR_EOV,https://static.wixstatic.com/media/747fdf_a47284bfce5a4f33805f66133e00e76a~mv2.jpg,
digital-presence,11062b_c340018bdc444e61869f46725c8ec735~mv2.jpg,Pink Screen,DECOR_STOCK,https://static.wixstatic.com/media/11062b_c340018bdc444e61869f46725c8ec735~mv2.jpg,Wix stock hero
about,747fdf_e412f4453e1548d4b6d5aae65de91a28~mv2.png,(no original name),WORK,https://static.wixstatic.com/media/747fdf_e412f4453e1548d4b6d5aae65de91a28~mv2.png,
about,747fdf_2ffdc7b1c03e44e487c717ccebe8bcc9~mv2.jpg,05.jpg,WORK,https://static.wixstatic.com/media/747fdf_2ffdc7b1c03e44e487c717ccebe8bcc9~mv2.jpg,
about,747fdf_4661208f80054a38b577be6cc36238bb~mv2.jpg,opec_274.jpg,WORK,https://static.wixstatic.com/media/747fdf_4661208f80054a38b577be6cc36238bb~mv2.jpg,Named: OPEC
about,747fdf_e63f72fd57b1434ea821c615f22d68d9~mv2.jpg,opec_393_edited.jpg,WORK,https://static.wixstatic.com/media/747fdf_e63f72fd57b1434ea821c615f22d68d9~mv2.jpg,Named: OPEC. Also used on home.
about,747fdf_6e01a43b1bc64138a85e84a6d902d3a0~mv2.jpg,1389551766694.jpg,WORK,https://static.wixstatic.com/media/747fdf_6e01a43b1bc64138a85e84a6d902d3a0~mv2.jpg,"Timestamp filename, Jan 2014"
about,747fdf_45036a563058469bbe586d03d75f48cd~mv2.jpg,(no original name),WORK,https://static.wixstatic.com/media/747fdf_45036a563058469bbe586d03d75f48cd~mv2.jpg,
about,747fdf_517adb274aab498a89edb988fc8a48ff~mv2.jpg,IMG-20190424-WA0006 (1).jpg,WORK,https://static.wixstatic.com/media/747fdf_517adb274aab498a89edb988fc8a48ff~mv2.jpg,Dated 24 Apr 2019. Also on innovation page.
about,747fdf_5e40ceda074f464bb3155b7e01b102ac~mv2.jpg,arabsmis-0264_edited_edited.jpg,WORK,https://static.wixstatic.com/media/747fdf_5e40ceda074f464bb3155b7e01b102ac~mv2.jpg,Named: Arab SMIS summit
about,747fdf_fe0abad2518c4cc0904d37e8734df184~mv2.jpg,opec_316.jpg,WORK,https://static.wixstatic.com/media/747fdf_fe0abad2518c4cc0904d37e8734df184~mv2.jpg,Named: OPEC
about,747fdf_b0f35bb1c76f4fdcb2da3aa1958e4549~mv2.jpg,opec_160_edited.jpg,WORK,https://static.wixstatic.com/media/747fdf_b0f35bb1c76f4fdcb2da3aa1958e4549~mv2.jpg,Named: OPEC
about,747fdf_29f7384608a847689694d2adbc71fa0b~mv2.jpg,IMG_4203_edited.jpg,WORK,https://static.wixstatic.com/media/747fdf_29f7384608a847689694d2adbc71fa0b~mv2.jpg,
about,747fdf_19b862e1e5bf437c9e08a716ca292b6e~mv2.jpg,FA220063.jpg,WORK,https://static.wixstatic.com/media/747fdf_19b862e1e5bf437c9e08a716ca292b6e~mv2.jpg,
about,747fdf_37d7116dec984ce3ab5389fc35d5ead4~mv2.jpg,IMG_20190308_212828_315_edited.jpg,WORK,https://static.wixstatic.com/media/747fdf_37d7116dec984ce3ab5389fc35d5ead4~mv2.jpg,Dated 8 Mar 2019
about,747fdf_cb5144a4f2d446d8bfd758cd930d0013~mv2.jpg,arabsmis-0371.jpg,WORK,https://static.wixstatic.com/media/747fdf_cb5144a4f2d446d8bfd758cd930d0013~mv2.jpg,Named: Arab SMIS summit
about,747fdf_9300e8ad2cb14c36b90e46c80094a367~mv2.jpg,arabsmis-0293_edited.jpg,WORK,https://static.wixstatic.com/media/747fdf_9300e8ad2cb14c36b90e46c80094a367~mv2.jpg,Named: Arab SMIS summit
about,747fdf_a40472327bbd4a4eb52d0aae9e4311a4~mv2.jpg,"DEWA, a7_edited_edited.jpg",WORK,https://static.wixstatic.com/media/747fdf_a40472327bbd4a4eb52d0aae9e4311a4~mv2.jpg,Named: DEWA
about,747fdf_2efcf6b12e7b40b092cefe49cbaa0503~mv2.jpg,"DEWA, b5_edited.jpg",WORK,https://static.wixstatic.com/media/747fdf_2efcf6b12e7b40b092cefe49cbaa0503~mv2.jpg,Named: DEWA
about,747fdf_0424068c80ec468a8c38cc396463f07e~mv2.jpg,(no original name),DECOR_EOV,https://static.wixstatic.com/media/747fdf_0424068c80ec468a8c38cc396463f07e~mv2.jpg,
about,747fdf_36ca841ae9ea4169a55177a3b073cabc~mv2.jpg,(no original name),DECOR_EOV,https://static.wixstatic.com/media/747fdf_36ca841ae9ea4169a55177a3b073cabc~mv2.jpg,
about,747fdf_c1eb947321f3415a943cc041c155e483~mv2.jpg,(no original name),DECOR_EOV,https://static.wixstatic.com/media/747fdf_c1eb947321f3415a943cc041c155e483~mv2.jpg,Likely CEO portrait
about,747fdf_7de4e65afc554b0db48dd10e75bf7978~mv2.png,award-trophy.png,WORK,https://static.wixstatic.com/media/747fdf_7de4e65afc554b0db48dd10e75bf7978~mv2.png,"The award graphic. No issuer, no year."
about,747fdf_d23f071bd22b4c368486dd3c6f86fb32~mv2.png,Group 3.png,LOGO,https://static.wixstatic.com/media/747fdf_d23f071bd22b4c368486dd3c6f86fb32~mv2.png,Partner row
about,747fdf_033bdc1335414172abdfe2a922a47c58~mv2.png,MARCOLLIN.png,LOGO,https://static.wixstatic.com/media/747fdf_033bdc1335414172abdfe2a922a47c58~mv2.png,Partner row
about,747fdf_8ed881cd4efe4a6c8f33555cfb65dbe9~mv2.png,Logo est 1 SAA.png,LOGO,https://static.wixstatic.com/media/747fdf_8ed881cd4efe4a6c8f33555cfb65dbe9~mv2.png,Partner row
about,c837a6_9fe36d379ad5420fb2f7663fe6a1ff26~mv2.png,Palo_Alto_Tribunal-01.png,LOGO,https://static.wixstatic.com/media/c837a6_9fe36d379ad5420fb2f7663fe6a1ff26~mv2.png,Partner row
innovation-consultation,747fdf_118d610ec8a1426c9fbccd41ac42fbb3~mv2.jpg,Artboard Copy 19.jpg,WORK,https://static.wixstatic.com/media/747fdf_118d610ec8a1426c9fbccd41ac42fbb3~mv2.jpg,Design artboard
innovation-consultation,747fdf_0a9a57a4d56f46e7b5e50bcb5ab197c2~mv2.jpg,EOV_SME-fullresolution-170050_edited.jpg,WORK,https://static.wixstatic.com/media/747fdf_0a9a57a4d56f46e7b5e50bcb5ab197c2~mv2.jpg,"Named: SME project, full resolution original"
innovation-consultation,747fdf_4900a988d33f4b6983e19d3b73f783d1~mv2.jpg,Smart transformation FCA.jpg,WORK,https://static.wixstatic.com/media/747fdf_4900a988d33f4b6983e19d3b73f783d1~mv2.jpg,Named: FCA smart transformation
innovation-consultation,747fdf_02d80bdfcfb642bba8474fcd4ea36d36~mv2.jpg,(no original name),DECOR_EOV,https://static.wixstatic.com/media/747fdf_02d80bdfcfb642bba8474fcd4ea36d36~mv2.jpg,
innovation-consultation,747fdf_195b4a47124a47d4a7691c8d5d21225a~mv2.jpg,(no original name),DECOR_EOV,https://static.wixstatic.com/media/747fdf_195b4a47124a47d4a7691c8d5d21225a~mv2.jpg,
innovation-consultation,11062b_d69742637e5440fba8cbe60b6dc187b4~mv2.jpg,Laptop,DECOR_STOCK,https://static.wixstatic.com/media/11062b_d69742637e5440fba8cbe60b6dc187b4~mv2.jpg,Wix stock hero
digital-solutions,747fdf_2e004c4f187345d3b3dae52236d93caa~mv2.png,(no original name),DECOR_EOV,https://static.wixstatic.com/media/747fdf_2e004c4f187345d3b3dae52236d93caa~mv2.png,
digital-solutions,747fdf_d86cf0fe28a8453eb2423a102e2ba459~mv2.png,(no original name),DECOR_EOV,https://static.wixstatic.com/media/747fdf_d86cf0fe28a8453eb2423a102e2ba459~mv2.png,
digital-solutions,747fdf_4cce53f7d86f42b3983c6effc666513c~mv2.png,(no original name),DECOR_EOV,https://static.wixstatic.com/media/747fdf_4cce53f7d86f42b3983c6effc666513c~mv2.png,
digital-solutions,747fdf_c15ed77773574e309ed480fc293b9719~mv2.png,(no original name),DECOR_EOV,https://static.wixstatic.com/media/747fdf_c15ed77773574e309ed480fc293b9719~mv2.png,
digital-solutions,747fdf_aed5dea5fb0649a8a47651f731086e0b~mv2.jpg,(no original name),DECOR_EOV,https://static.wixstatic.com/media/747fdf_aed5dea5fb0649a8a47651f731086e0b~mv2.jpg,
digital-solutions,747fdf_700e90e120f64f308d1e9aeabf69f39b~mv2.jpg,(no original name),DECOR_EOV,https://static.wixstatic.com/media/747fdf_700e90e120f64f308d1e9aeabf69f39b~mv2.jpg,
digital-solutions,747fdf_4720cb0e1ab9447292e71cf89158c33e~mv2.png,(no original name),DECOR_EOV,https://static.wixstatic.com/media/747fdf_4720cb0e1ab9447292e71cf89158c33e~mv2.png,
digital-solutions,11062b_2b74c96468d4482a9697638a0dcc24b7~mv2.jpg,(no original name),DECOR_STOCK,https://static.wixstatic.com/media/11062b_2b74c96468d4482a9697638a0dcc24b7~mv2.jpg,Wix stock
home,747fdf_4c88eccc4d66423abe4965bd98f12d1c~mv2.png,Home Logo icon.png,LOGO,https://static.wixstatic.com/media/747fdf_4c88eccc4d66423abe4965bd98f12d1c~mv2.png,EOV mark
home,747fdf_d5c7a46e55574ac89bb3790a4a986eef~mv2.png,eov logo.png,LOGO,https://static.wixstatic.com/media/747fdf_d5c7a46e55574ac89bb3790a4a986eef~mv2.png,"EOV wordmark, all pages"
home,747fdf_5363970ae2ff47e4b5da3382e55ce0a8~mv2.jpg,Working on Computer_edited_edited.jpg,DECOR_EOV,https://static.wixstatic.com/media/747fdf_5363970ae2ff47e4b5da3382e55ce0a8~mv2.jpg,Stock-looking
home,747fdf_6e9a1274d90f415585a842f119b07049~mv2.jpg,Consultation icon small 01.jpg,DECOR_EOV,https://static.wixstatic.com/media/747fdf_6e9a1274d90f415585a842f119b07049~mv2.jpg,
home,747fdf_c54da7a8c03843ae87976dadf543c721~mv2.png,illustration of Web development.png,DECOR_EOV,https://static.wixstatic.com/media/747fdf_c54da7a8c03843ae87976dadf543c721~mv2.png,
home,747fdf_920935d4a33b4bafa96a6ffa7c5cad71~mv2.png,Data Analysis.png,DECOR_EOV,https://static.wixstatic.com/media/747fdf_920935d4a33b4bafa96a6ffa7c5cad71~mv2.png,
home,747fdf_c3682c5d529644e19034846a50fdddcd~mv2.jpg,digital-business-and-technology-2021-09-02-06-05-54-utc_edited.jpg,DECOR_STOCK,https://static.wixstatic.com/media/747fdf_c3682c5d529644e19034846a50fdddcd~mv2.jpg,"Licensed stock, 2021"
home,11062b_b7cfa4e925d14b32a70401123a356e96~mv2.jpg,Online Communicatons,DECOR_STOCK,https://static.wixstatic.com/media/11062b_b7cfa4e925d14b32a70401123a356e96~mv2.jpg,Wix stock hero
home,84770f_3ebbf7ac3e26427b83ca50c82aabaaf8~mv2.png,(no original name),DECOR_STOCK,https://static.wixstatic.com/media/84770f_3ebbf7ac3e26427b83ca50c82aabaaf8~mv2.png,Template account
home,747fdf_aaee33b4f3884973a14f6ee3d4563640~mv2.png,opec_2.png,LOGO,https://static.wixstatic.com/media/747fdf_aaee33b4f3884973a14f6ee3d4563640~mv2.png,Client logo wall
home,747fdf_8fb33baf4e524dac8be2daebcb2e6fec~mv2.png,spsa logo.png,LOGO,https://static.wixstatic.com/media/747fdf_8fb33baf4e524dac8be2daebcb2e6fec~mv2.png,Client logo wall
home,747fdf_b72f6d2e45b04aac845d963c2d60eca4~mv2.png,Mubadala_Identity_Vertical_RGB_3000x1082[2].png,LOGO,https://static.wixstatic.com/media/747fdf_b72f6d2e45b04aac845d963c2d60eca4~mv2.png,Client logo wall
home,747fdf_af186630c8e44d328ba93435e937ad58~mv2.png,logo Mopa.png,LOGO,https://static.wixstatic.com/media/747fdf_af186630c8e44d328ba93435e937ad58~mv2.png,Client logo wall
home,747fdf_2b82673fa339405e9f6bc5cfcde76a4b~mv2.png,ADAEGP-01-1920x1920.png,LOGO,https://static.wixstatic.com/media/747fdf_2b82673fa339405e9f6bc5cfcde76a4b~mv2.png,Client logo wall
home,747fdf_3e195f3181dd4a6eac6f24e9e5dc21b4~mv2.png,Abu_Dhabi_National_Oil_Company-Logo.wine.png,LOGO,https://static.wixstatic.com/media/747fdf_3e195f3181dd4a6eac6f24e9e5dc21b4~mv2.png,Client logo wall
home,747fdf_c2acf0b1d0f44277b76b1624207c19fe~mv2.png,RTA.png,LOGO,https://static.wixstatic.com/media/747fdf_c2acf0b1d0f44277b76b1624207c19fe~mv2.png,Client logo wall
home,747fdf_af79c83ea00648f4813459555cf14839~mv2.png,Department-of-Economic.png,LOGO,https://static.wixstatic.com/media/747fdf_af79c83ea00648f4813459555cf14839~mv2.png,Client logo wall
home,747fdf_664bfcd7049a45f58ee00a7051648160~mv2.png,POD_DCD Logo.png,LOGO,https://static.wixstatic.com/media/747fdf_664bfcd7049a45f58ee00a7051648160~mv2.png,Client logo wall
home,747fdf_ab8e3851fbf64fcfb470336cadd7e522~mv2.png,Pnsion-Fund-01-2048x2048.png,LOGO,https://static.wixstatic.com/media/747fdf_ab8e3851fbf64fcfb470336cadd7e522~mv2.png,Client logo wall
home,747fdf_8a3c6096c0ed4845bc4bb5c5099ba1f5~mv2.png,FCA-Logo-vertical.png,LOGO,https://static.wixstatic.com/media/747fdf_8a3c6096c0ed4845bc4bb5c5099ba1f5~mv2.png,Client logo wall
home,747fdf_56e5cc4aa95a4cecbee8a068b3bc42f7~mv2.jpg,Abu-Dhabi-Agriculture-and-food-safety-authority.jpg,LOGO,https://static.wixstatic.com/media/747fdf_56e5cc4aa95a4cecbee8a068b3bc42f7~mv2.jpg,Client logo wall
home,747fdf_0e96cbce9c09451180f9ea69a33bdf12~mv2.png,logo_ded.png,LOGO,https://static.wixstatic.com/media/747fdf_0e96cbce9c09451180f9ea69a33bdf12~mv2.png,Client logo wall
home,747fdf_74a702c78c3f4c3bb1ddcf65b49038ae~mv2.png,ESMA-CORPORATE-VIDEO-2.png,LOGO,https://static.wixstatic.com/media/747fdf_74a702c78c3f4c3bb1ddcf65b49038ae~mv2.png,Client logo wall. Filename references an ESMA corporate video.
home,747fdf_24b633a889ad47b7a4495f7bdb31b8a5~mv2.png,Ministry-of-energy.png,LOGO,https://static.wixstatic.com/media/747fdf_24b633a889ad47b7a4495f7bdb31b8a5~mv2.png,Client logo wall
home,747fdf_91a89b43453f416bb68e20f55000ad13~mv2.png,dewa-logo.png,LOGO,https://static.wixstatic.com/media/747fdf_91a89b43453f416bb68e20f55000ad13~mv2.png,Client logo wall
home,747fdf_080630bb8df64c4189a0b5d5f5edeff7~mv2.png,moeconomy.png,LOGO,https://static.wixstatic.com/media/747fdf_080630bb8df64c4189a0b5d5f5edeff7~mv2.png,Client logo wall
home,747fdf_20136f3d793249a3b9e05a5ecd1a8f10~mv2.png,HMS-01-1920x1920.png,LOGO,https://static.wixstatic.com/media/747fdf_20136f3d793249a3b9e05a5ecd1a8f10~mv2.png,Client logo wall
home,747fdf_a04aebd7418345f8af68ceb37e44166b~mv2.png,Damac_logo.svg.png,LOGO,https://static.wixstatic.com/media/747fdf_a04aebd7418345f8af68ceb37e44166b~mv2.png,Client logo wall
home,747fdf_9a73ae366ca74ba9e05a5ecd1a8f10~mv2.png,MBR-01-2048x2048.png,LOGO,https://static.wixstatic.com/media/747fdf_9a73ae366ca74ba9e05a5ecd1a8f10~mv2.png,"UNVERIFIED media id, this one 403s. Grab from the live page instead."
careers,84770f_b277d32c4552480eb4068ee023b6402~mv2.jpg,(no original name),DECOR_STOCK,https://static.wixstatic.com/media/84770f_b277d32c4552480eb4068ee023b6402~mv2.jpg,Wix template stock
careers,c837a6_dd610e0724af42ebbc47147f9fbbedf1~mv2.jpg,(no original name),DECOR_STOCK,https://static.wixstatic.com/media/c837a6_dd610e0724af42ebbc47147f9fbbedf1~mv2.jpg,Wix template stock
